Zip,Total Enrollment 11,Total Enrollment 12,Total Enrollment 13,private average
93012,46.0,38.0,,42.0
93013,340.0,11.0,277.0,209.333333333
93015,67.0,66.0,70.0,67.6666666667
93021,185.0,183.0,11.0,126.333333333
93023,3471.0,3200.0,3906.0,3525.66666667
93030,731.0,713.0,775.0,739.666666667
93033,653.0,560.0,554.0,589.0
93036,101.0,108.0,123.0,110.666666667
93041,234.0,231.0,219.0,228.0
93060,129.0,139.0,146.0,138.0
93061,,20.0,,20.0
93063,467.0,466.0,300.0,411.0
93065,1282.0,1411.0,1479.0,1390.66666667
93066,,,6.0,6.0
93101,288.0,199.0,206.0,231.0
93103,72.0,87.0,286.0,148.333333333
93105,226.0,286.0,417.0,309.666666667
93108,447.0,442.0,444.0,444.333333333
93109,,,13.0,13.0
93110,676.0,289.0,575.0,513.333333333
93111,237.0,264.0,273.0,258.0
93117,459.0,324.0,248.0,343.666666667
93202,135.0,137.0,136.0,136.0
93210,114.0,95.0,89.0,99.3333333333
93212,15.0,15.0,6.0,12.0
93215,48.0,33.0,29.0,36.6666666667
93221,148.0,142.0,145.0,145.0
93222,22.0,,,22.0
93225,19.0,,17.0,18.0
93230,294.0,208.0,204.0,235.333333333
93238,15.0,6.0,,10.5
93243,7.0,8.0,9.0,8.0
93245,460.0,460.0,439.0,453.0
93247,23.0,29.0,29.0,27.0
93257,219.0,186.0,196.0,200.333333333
93263,31.0,25.0,24.0,26.6666666667
93265,20.0,14.0,16.0,16.6666666667
93270,24.0,15.0,,19.5
93274,315.0,314.0,319.0,316.0
93277,1210.0,1040.0,1021.0,1090.33333333
93280,101.0,87.0,81.0,89.6666666667
93291,586.0,575.0,538.0,566.333333333
93292,9.0,9.0,15.0,11.0
93301,84.0,64.0,40.0,62.6666666667
93304,542.0,519.0,527.0,529.333333333
93305,1000.0,966.0,963.0,976.333333333
93306,419.0,371.0,316.0,368.666666667
93307,342.0,363.0,354.0,353.0
93308,297.0,206.0,218.0,240.333333333
93309,606.0,598.0,558.0,587.333333333
93311,348.0,378.0,428.0,384.666666667
93312,184.0,202.0,194.0,193.333333333
93313,106.0,114.0,192.0,137.333333333
93314,485.0,450.0,425.0,453.333333333
93401,658.0,716.0,767.0,713.666666667
93402,14.0,13.0,27.0,18.0
93405,315.0,308.0,287.0,303.333333333
93420,568.0,570.0,563.0,567.0
93422,323.0,306.0,242.0,290.333333333
93436,186.0,161.0,161.0,169.333333333
93441,374.0,309.0,353.0,345.333333333
93446,502.0,327.0,529.0,452.666666667
93454,226.0,206.0,202.0,211.333333333
93455,1485.0,1440.0,1451.0,1458.66666667
93458,11.0,11.0,10.0,10.6666666667
93460,105.0,100.0,110.0,105.0
93465,56.0,56.0,59.0,57.0
93501,11.0,,,11.0
93505,6.0,6.0,6.0,6.0
93510,11.0,7.0,11.0,9.66666666667
93514,31.0,29.0,31.0,30.3333333333
93518,45.0,41.0,36.0,40.6666666667
93523,,8.0,9.0,8.5
93527,28.0,25.0,21.0,24.6666666667
93531,58.0,53.0,43.0,51.3333333333
93534,2439.0,2302.0,2419.0,2386.66666667
93535,777.0,751.0,576.0,701.333333333
93536,1373.0,1300.0,1224.0,1299.0
93544,,6.0,9.0,7.5
93546,,,9.0,9.0
93550,389.0,351.0,367.0,369.0
93551,289.0,265.0,234.0,262.666666667
93553,75.0,75.0,34.0,61.3333333333
93555,372.0,390.0,371.0,377.666666667
93560,,6.0,6.0,6.0
93561,121.0,126.0,237.0,161.333333333
93562,,11.0,11.0,11.0
93571,,7.0,6.0,6.5
93601,,6.0,6.0,6.0
93602,27.0,21.0,133.0,60.3333333333
93610,33.0,25.0,32.0,30.0
93611,135.0,90.0,107.0,110.666666667
93612,273.0,244.0,268.0,261.666666667
93618,34.0,26.0,18.0,26.0
93619,265.0,239.0,221.0,241.666666667
93628,7.0,12.0,,9.5
93630,55.0,65.0,58.0,59.3333333333
93635,199.0,197.0,189.0,195.0
93636,24.0,50.0,21.0,31.6666666667
93637,323.0,328.0,332.0,327.666666667
93638,99.0,91.0,104.0,98.0
93640,8.0,,,8.0
93643,6.0,6.0,,6.0
93644,11.0,7.0,16.0,11.3333333333
93647,25.0,22.0,17.0,21.3333333333
93651,512.0,516.0,620.0,549.333333333
93654,675.0,682.0,644.0,667.0
93662,23.0,,,23.0
93675,53.0,33.0,19.0,35.0
93702,10.0,,15.0,12.5
93703,699.0,655.0,691.0,681.666666667
93704,691.0,653.0,661.0,668.333333333
93705,195.0,184.0,183.0,187.333333333
93710,197.0,236.0,239.0,224.0
93711,6.0,,8.0,7.0
93720,560.0,547.0,552.0,553.0
93721,,,6.0,6.0
93723,6.0,,,6.0
93726,204.0,211.0,228.0,214.333333333
93727,631.0,590.0,617.0,612.666666667
93728,,,6.0,6.0
93901,1131.0,1110.0,1121.0,1120.66666667
93906,419.0,406.0,401.0,408.666666667
93907,68.0,,24.0,46.0
93921,198.0,,197.0,197.5
93923,408.0,421.0,408.0,412.333333333
93927,,,12.0,12.0
93930,,11.0,13.0,12.0
93933,12.0,8.0,9.0,9.66666666667
93940,1102.0,1105.0,1144.0,1117.0
93953,531.0,518.0,522.0,523.666666667
93955,274.0,286.0,256.0,272.0
93960,22.0,16.0,23.0,20.3333333333
94002,1313.0,1073.0,1567.0,1317.66666667
94010,1464.0,1532.0,1897.0,1631.0
94014,584.0,586.0,581.0,583.666666667
94015,472.0,409.0,438.0,439.666666667
94018,79.0,88.0,90.0,85.6666666667
94019,224.0,247.0,269.0,246.666666667
94022,609.0,623.0,644.0,625.333333333
94024,1516.0,1557.0,1594.0,1555.66666667
94025,1618.0,1301.0,1747.0,1555.33333333
94027,1837.0,1873.0,1897.0,1869.0
94028,584.0,569.0,602.0,585.0
94030,279.0,275.0,288.0,280.666666667
94040,1955.0,1946.0,1944.0,1948.33333333
94041,182.0,169.0,157.0,169.333333333
94043,513.0,431.0,554.0,499.333333333
94044,505.0,530.0,523.0,519.333333333
94061,370.0,366.0,409.0,381.666666667
94062,476.0,291.0,507.0,424.666666667
94063,38.0,56.0,68.0,54.0
94066,796.0,776.0,748.0,773.333333333
94070,421.0,399.0,382.0,400.666666667
94080,622.0,609.0,647.0,626.0
94085,1553.0,1592.0,1650.0,1598.33333333
94086,653.0,656.0,513.0,607.333333333
94087,1391.0,1233.0,1434.0,1352.66666667
94102,1525.0,1134.0,2820.0,1826.33333333
94103,456.0,91.0,479.0,342.0
94105,16.0,24.0,26.0,22.0
94107,264.0,274.0,283.0,273.666666667
94108,284.0,374.0,642.0,433.333333333
94109,1661.0,1669.0,430.0,1253.33333333
94110,1858.0,1860.0,1847.0,1855.0
94112,2163.0,1623.0,1975.0,1920.33333333
94114,396.0,477.0,545.0,472.666666667
94115,2757.0,2620.0,2980.0,2785.66666667
94116,2678.0,2639.0,2657.0,2658.0
94117,352.0,382.0,385.0,373.0
94118,979.0,732.0,1109.0,940.0
94121,518.0,933.0,1000.0,817.0
94122,851.0,845.0,1841.0,1179.0
94123,262.0,277.0,284.0,274.333333333
94124,176.0,81.0,49.0,102.0
94127,327.0,336.0,397.0,353.333333333
94129,,285.0,312.0,298.5
94131,527.0,517.0,484.0,509.333333333
94132,2270.0,1645.0,2195.0,2036.66666667
94133,325.0,234.0,250.0,269.666666667
94134,1270.0,1228.0,1302.0,1266.66666667
94301,273.0,700.0,681.0,551.333333333
94303,1609.0,1075.0,1725.0,1469.66666667
94304,55.0,,56.0,55.5
94305,250.0,407.0,523.0,393.333333333
94306,699.0,1145.0,1200.0,1014.66666667
94401,321.0,321.0,502.0,381.333333333
94402,626.0,643.0,662.0,643.666666667
94403,1679.0,1617.0,1600.0,1632.0
94404,544.0,416.0,414.0,458.0
94501,1120.0,1144.0,1131.0,1131.66666667
94502,245.0,425.0,452.0,374.0
94503,97.0,62.0,,79.5
94505,97.0,,,97.0
94506,463.0,470.0,467.0,466.666666667
94508,184.0,192.0,199.0,191.666666667
94509,2164.0,2426.0,1222.0,1937.33333333
94510,322.0,324.0,320.0,322.0
94513,255.0,245.0,248.0,249.333333333
94517,51.0,11.0,10.0,24.0
94518,2389.0,2301.0,2356.0,2348.66666667
94519,438.0,389.0,419.0,415.333333333
94520,399.0,496.0,489.0,461.333333333
94521,827.0,824.0,841.0,830.666666667
94523,633.0,572.0,535.0,580.0
94526,1042.0,1019.0,1047.0,1036.0
94530,1427.0,497.0,1191.0,1038.33333333
94531,111.0,,106.0,108.5
94533,608.0,599.0,559.0,588.666666667
94534,46.0,,,46.0
94536,1597.0,1393.0,1631.0,1540.33333333
94538,576.0,635.0,705.0,638.666666667
94539,738.0,516.0,573.0,609.0
94541,534.0,582.0,516.0,544.0
94542,9.0,,50.0,29.5
94544,1498.0,1498.0,1476.0,1490.66666667
94545,81.0,77.0,56.0,71.3333333333
94546,470.0,524.0,518.0,504.0
94549,922.0,983.0,999.0,968.0
94550,494.0,469.0,409.0,457.333333333
94551,358.0,365.0,372.0,365.0
94553,190.0,175.0,178.0,181.0
94555,110.0,126.0,122.0,119.333333333
94556,215.0,123.0,210.0,182.666666667
94558,1509.0,1566.0,1496.0,1523.66666667
94559,810.0,803.0,851.0,821.333333333
94560,1156.0,1155.0,1194.0,1168.33333333
94561,212.0,39.0,44.0,98.3333333333
94563,95.0,116.0,90.0,100.333333333
94564,299.0,298.0,294.0,297.0
94565,507.0,363.0,332.0,400.666666667
94566,45.0,42.0,41.0,42.6666666667
94568,1631.0,1604.0,1577.0,1604.0
94572,316.0,20.0,338.0,224.666666667
94574,251.0,158.0,243.0,217.333333333
94577,336.0,308.0,344.0,329.333333333
94578,439.0,417.0,414.0,423.333333333
94579,859.0,593.0,587.0,679.666666667
94580,780.0,778.0,752.0,770.0
94583,45.0,32.0,,38.5
94587,396.0,467.0,586.0,483.0
94588,195.0,55.0,175.0,141.666666667
94589,30.0,35.0,27.0,30.6666666667
94590,720.0,732.0,820.0,757.333333333
94591,1156.0,1113.0,1067.0,1112.0
94595,299.0,303.0,316.0,306.0
94596,292.0,291.0,285.0,289.333333333
94597,783.0,782.0,782.0,782.333333333
94598,793.0,1171.0,1178.0,1047.33333333
94601,719.0,713.0,632.0,688.0
94602,1475.0,1422.0,1471.0,1456.0
94605,1373.0,1302.0,1319.0,1331.33333333
94606,432.0,199.0,347.0,326.0
94607,46.0,59.0,40.0,48.3333333333
94609,609.0,637.0,688.0,644.666666667
94610,440.0,437.0,449.0,442.0
94611,844.0,625.0,671.0,713.333333333
94612,219.0,218.0,41.0,159.333333333
94613,219.0,228.0,244.0,230.333333333
94618,1275.0,1273.0,1261.0,1269.66666667
94619,417.0,443.0,410.0,423.333333333
94621,230.0,214.0,189.0,211.0
94702,267.0,220.0,283.0,256.666666667
94703,226.0,237.0,243.0,235.333333333
94704,249.0,15.0,,132.0
94705,225.0,211.0,71.0,169.0
94706,660.0,668.0,692.0,673.333333333
94707,,12.0,106.0,59.0
94709,337.0,377.0,417.0,377.0
94710,470.0,489.0,766.0,575.0
94801,15.0,24.0,8.0,15.6666666667
94803,418.0,524.0,523.0,488.333333333
94804,765.0,791.0,766.0,774.0
94805,252.0,224.0,241.0,239.0
94806,387.0,359.0,366.0,370.666666667
94901,580.0,157.0,582.0,439.666666667
94903,870.0,963.0,1607.0,1146.66666667
94904,716.0,714.0,728.0,719.333333333
94920,240.0,248.0,226.0,238.0
94925,329.0,10.0,922.0,420.333333333
94928,75.0,27.0,33.0,45.0
94930,207.0,192.0,198.0,199.0
94931,24.0,30.0,,27.0
94939,460.0,597.0,486.0,514.333333333
94941,677.0,639.0,574.0,630.0
94945,281.0,320.0,342.0,314.333333333
94947,269.0,272.0,251.0,264.0
94949,,,11.0,11.0
94952,704.0,691.0,669.0,688.0
94954,240.0,182.0,200.0,207.333333333
94957,320.0,,320.0,320.0
94960,798.0,865.0,892.0,851.666666667
94965,133.0,150.0,103.0,128.666666667
95003,560.0,519.0,543.0,540.666666667
95004,12.0,6.0,,9.0
95008,1479.0,1514.0,1594.0,1529.0
95014,386.0,358.0,426.0,390.0
95018,44.0,46.0,45.0,45.0
95020,646.0,658.0,740.0,681.333333333
95023,351.0,335.0,297.0,327.666666667
95030,288.0,293.0,318.0,299.666666667
95032,1239.0,1255.0,1192.0,1228.66666667
95035,723.0,728.0,738.0,729.666666667
95037,928.0,904.0,847.0,893.0
95039,6.0,,,6.0
95046,43.0,26.0,,34.5
95050,391.0,599.0,442.0,477.333333333
95051,1739.0,1763.0,1882.0,1794.66666667
95054,598.0,608.0,610.0,605.333333333
95060,711.0,923.0,931.0,855.0
95062,159.0,147.0,147.0,151.0
95065,186.0,177.0,174.0,179.0
95066,352.0,318.0,327.0,332.333333333
95070,553.0,580.0,595.0,576.0
95073,83.0,76.0,35.0,64.6666666667
95076,2097.0,2118.0,2164.0,2126.33333333
95110,141.0,68.0,129.0,112.666666667
95111,1828.0,1858.0,1942.0,1876.0
95112,1539.0,1605.0,1663.0,1602.33333333
95113,6.0,,,6.0
95117,401.0,344.0,380.0,375.0
95118,237.0,201.0,328.0,255.333333333
95119,274.0,275.0,287.0,278.666666667
95120,1061.0,1086.0,1116.0,1087.66666667
95121,92.0,85.0,100.0,92.3333333333
95122,584.0,256.0,239.0,359.666666667
95123,659.0,639.0,769.0,689.0
95124,1267.0,1204.0,1217.0,1229.33333333
95125,2276.0,2192.0,2217.0,2228.33333333
95126,1860.0,1886.0,1910.0,1885.33333333
95127,789.0,598.0,584.0,657.0
95128,392.0,400.0,413.0,401.666666667
95129,3951.0,4411.0,4453.0,4271.66666667
95130,101.0,89.0,85.0,91.6666666667
95131,66.0,46.0,48.0,53.3333333333
95132,782.0,705.0,728.0,738.333333333
95133,125.0,145.0,142.0,137.333333333
95134,,23.0,32.0,27.5
95136,430.0,417.0,403.0,416.666666667
95202,19.0,,,19.0
95203,285.0,294.0,289.0,289.333333333
95204,466.0,413.0,328.0,402.333333333
95205,135.0,110.0,127.0,124.0
95206,149.0,153.0,131.0,144.333333333
95207,1751.0,1680.0,1666.0,1699.0
95209,,,13.0,13.0
95210,10.0,148.0,124.0,94.0
95212,33.0,28.0,30.0,30.3333333333
95219,211.0,,182.0,196.5
95220,170.0,160.0,167.0,165.666666667
95222,107.0,111.0,100.0,106.0
95236,,6.0,,6.0
95240,776.0,739.0,708.0,741.0
95242,531.0,520.0,421.0,490.666666667
95246,28.0,34.0,17.0,26.3333333333
95247,,,8.0,8.0
95249,,,6.0,6.0
95301,203.0,199.0,193.0,198.333333333
95307,256.0,245.0,262.0,254.333333333
95311,13.0,13.0,9.0,11.6666666667
95316,154.0,107.0,53.0,104.666666667
95322,111.0,113.0,106.0,110.0
95326,23.0,21.0,,22.0
95327,149.0,160.0,158.0,155.666666667
95330,,,6.0,6.0
95333,9.0,9.0,,9.0
95334,60.0,59.0,59.0,59.3333333333
95336,410.0,286.0,287.0,327.666666667
95337,15.0,14.0,15.0,14.6666666667
95338,34.0,48.0,54.0,45.3333333333
95340,574.0,774.0,618.0,655.333333333
95341,73.0,,,73.0
95348,141.0,97.0,153.0,130.333333333
95350,376.0,389.0,339.0,368.0
95351,726.0,656.0,680.0,687.333333333
95354,95.0,53.0,43.0,63.6666666667
95355,27.0,11.0,6.0,14.6666666667
95356,1298.0,1160.0,1041.0,1166.33333333
95358,95.0,177.0,180.0,150.666666667
95361,81.0,77.0,73.0,77.0
95363,226.0,250.0,232.0,236.0
95366,672.0,660.0,759.0,697.0
95367,46.0,26.0,,36.0
95368,,8.0,,8.0
95370,119.0,121.0,107.0,115.666666667
95376,710.0,700.0,693.0,701.0
95377,,,6.0,6.0
95379,66.0,83.0,74.0,74.3333333333
95380,510.0,505.0,461.0,492.0
95382,266.0,243.0,225.0,244.666666667
95383,6.0,,6.0,6.0
95388,118.0,116.0,124.0,119.333333333
95401,455.0,394.0,487.0,445.333333333
95403,1599.0,1401.0,1392.0,1464.0
95404,455.0,551.0,536.0,514.0
95405,340.0,340.0,318.0,332.666666667
95407,56.0,57.0,49.0,54.0
95409,370.0,429.0,445.0,414.666666667
95410,,,6.0,6.0
95418,115.0,131.0,117.0,121.0
95421,12.0,,,12.0
95422,23.0,34.0,15.0,24.0
95425,16.0,14.0,15.0,15.0
95444,,,27.0,27.0
95448,510.0,386.0,376.0,424.0
95453,87.0,71.0,85.0,81.0
95457,15.0,26.0,16.0,19.0
95461,79.0,72.0,71.0,74.0
95466,16.0,14.0,15.0,15.0
95470,58.0,68.0,70.0,65.3333333333
95472,193.0,174.0,102.0,156.333333333
95476,563.0,610.0,581.0,584.666666667
95482,510.0,528.0,511.0,516.333333333
95490,12.0,15.0,24.0,17.0
95492,146.0,186.0,192.0,174.666666667
95501,380.0,348.0,346.0,358.0
95503,33.0,38.0,38.0,36.3333333333
95519,22.0,13.0,,17.5
95521,66.0,82.0,79.0,75.6666666667
95524,65.0,50.0,53.0,56.0
95531,116.0,102.0,69.0,95.6666666667
95536,20.0,21.0,21.0,20.6666666667
95540,86.0,90.0,88.0,88.0
95547,,6.0,6.0,6.0
95553,13.0,,,13.0
95573,12.0,7.0,,9.5
95602,526.0,467.0,459.0,484.0
95603,435.0,329.0,335.0,366.333333333
95605,99.0,98.0,131.0,109.333333333
95608,2539.0,2438.0,2451.0,2476.0
95610,667.0,512.0,457.0,545.333333333
95616,713.0,741.0,639.0,697.666666667
95618,74.0,72.0,151.0,99.0
95620,171.0,151.0,142.0,154.666666667
95621,617.0,514.0,539.0,556.666666667
95624,195.0,234.0,251.0,226.666666667
95625,49.0,42.0,50.0,47.0
95626,,22.0,,22.0
95628,855.0,889.0,915.0,886.333333333
95630,747.0,739.0,727.0,737.666666667
95632,71.0,50.0,77.0,66.0
95633,11.0,19.0,11.0,13.6666666667
95634,8.0,8.0,18.0,11.3333333333
95648,72.0,70.0,46.0,62.6666666667
95650,57.0,15.0,,36.0
95655,8.0,7.0,6.0,7.0
95656,,11.0,,11.0
95658,6.0,,,6.0
95660,39.0,55.0,48.0,47.3333333333
95661,226.0,269.0,238.0,244.333333333
95662,252.0,243.0,275.0,256.666666667
95663,27.0,23.0,22.0,24.0
95665,63.0,46.0,,54.5
95667,496.0,304.0,414.0,404.666666667
95670,361.0,355.0,355.0,357.0
95673,30.0,27.0,46.0,34.3333333333
95677,6.0,14.0,23.0,14.3333333333
95678,986.0,1097.0,1030.0,1037.66666667
95682,123.0,164.0,178.0,155.0
95685,7.0,8.0,6.0,7.0
95687,476.0,1349.0,538.0,787.666666667
95688,934.0,29.0,866.0,609.666666667
95691,287.0,267.0,262.0,272.0
95692,,,6.0,6.0
95693,83.0,68.0,44.0,65.0
95695,633.0,285.0,260.0,392.666666667
95709,16.0,13.0,6.0,11.6666666667
95713,25.0,,,25.0
95724,29.0,52.0,43.0,41.3333333333
95736,65.0,44.0,54.0,54.3333333333
95746,26.0,32.0,29.0,29.0
95747,211.0,173.0,15.0,133.0
95758,380.0,64.0,381.0,275.0
95762,706.0,759.0,617.0,694.0
95765,,,57.0,57.0
95776,6.0,392.0,453.0,283.666666667
95811,24.0,20.0,26.0,23.3333333333
95815,154.0,160.0,156.0,156.666666667
95816,322.0,751.0,773.0,615.333333333
95818,163.0,163.0,152.0,159.333333333
95819,1515.0,1484.0,1457.0,1485.33333333
95820,1320.0,1021.0,1103.0,1148.0
95821,622.0,524.0,563.0,569.666666667
95822,713.0,708.0,654.0,691.666666667
95823,877.0,813.0,795.0,828.333333333
95824,667.0,741.0,687.0,698.333333333
95825,409.0,426.0,432.0,422.333333333
95826,71.0,58.0,59.0,62.6666666667
95827,919.0,910.0,928.0,919.0
95828,18.0,14.0,,16.0
95829,1161.0,1180.0,1283.0,1208.0
95831,298.0,337.0,332.0,322.333333333
95833,145.0,144.0,131.0,140.0
95834,16.0,21.0,9.0,15.3333333333
95835,6.0,6.0,6.0,6.0
95838,96.0,74.0,83.0,84.3333333333
95841,3606.0,3835.0,3532.0,3657.66666667
95842,115.0,109.0,296.0,173.333333333
95843,82.0,81.0,93.0,85.3333333333
95864,510.0,562.0,568.0,546.666666667
95901,7.0,14.0,8.0,9.66666666667
95918,,,6.0,6.0
95919,,16.0,,16.0
95926,198.0,188.0,116.0,167.333333333
95928,753.0,665.0,642.0,686.666666667
95932,121.0,118.0,112.0,117.0
95935,7.0,,6.0,6.5
95937,,,6.0,6.0
95943,94.0,98.0,103.0,98.3333333333
95945,161.0,163.0,177.0,167.0
95949,8.0,7.0,6.0,7.0
95953,,6.0,6.0,6.0
95954,31.0,22.0,29.0,27.3333333333
95959,119.0,107.0,79.0,101.666666667
95961,137.0,112.0,91.0,113.333333333
95963,73.0,76.0,74.0,74.3333333333
95965,114.0,109.0,112.0,111.666666667
95966,79.0,94.0,115.0,96.0
95969,261.0,232.0,293.0,262.0
95971,62.0,71.0,73.0,68.6666666667
95973,66.0,82.0,83.0,77.0
95988,7.0,,,7.0
95991,190.0,195.0,177.0,187.333333333
95993,409.0,393.0,338.0,380.0
96001,178.0,177.0,299.0,218.0
96002,300.0,311.0,248.0,286.333333333
96003,420.0,410.0,480.0,436.666666667
96007,214.0,98.0,117.0,143.0
96008,8.0,9.0,11.0,9.33333333333
96013,6.0,,,6.0
96015,36.0,37.0,36.0,36.3333333333
96022,,,13.0,13.0
96032,,18.0,22.0,20.0
96033,25.0,,,25.0
96065,,,9.0,9.0
96067,12.0,6.0,8.0,8.66666666667
96069,7.0,,,7.0
96073,475.0,487.0,472.0,478.0
96080,251.0,253.0,267.0,257.0
96097,83.0,78.0,78.0,79.6666666667
96101,6.0,,17.0,11.5
96114,,6.0,6.0,6.0
96129,6.0,6.0,6.0,6.0
96130,24.0,16.0,9.0,16.3333333333
96134,6.0,6.0,7.0,6.33333333333
96137,,8.0,,8.0
96143,12.0,50.0,69.0,43.6666666667
96146,,,68.0,68.0
96150,103.0,70.0,70.0,81.0
96161,62.0,,,62.0
96162,43.0,,,43.0
